"name","numberOfGuests","roomType","stars"
"Cecilia Cottage","4","Entire rental unit","4.8"
"Mandala-Kottawa City Hub Luxury apartment 2BR","5","Entire condo","5"
"Grace Green Ville Homestay Room Hope","2","Private room in villa","4.73"
"Double Room with AC - Surf Lodge Madiha","2","Private room in guesthouse",
"Thalalla sea-view room with direct beach access.","2","Private room in guest suite",
"comeasguest leaveasfriend & free pickup Room 6,7","2","Private room in rental unit","5"
"Nomads Co-Living Villa - Lakeside (Room 8)","2","Entire rental unit",
"Heights Haven: 9th Floor Apartment in Colombo 5","3","Entire rental unit","4.76"
"Villa Chillax cottage","2","Entire cottage","4.97"
"SHIRANIS - Hiriketiya Beach","6","Entire home","4.74"
"Surf House Hiriketiya","4","Entire home","4.47"
"R8 A new B&B at the heart of Colombo","2","Room in aparthotel","4.89"
"Koon Cottage (Room #2 of 3)","3","Private room in bed and breakfast","5"
"Marvel Hills Kandy -  Deluxe Room 1 - 1 Km to city","2","Private room in home","4.91"
"Ella Ridge view Guest","2","Private room in guesthouse","4.78"
"Modern Room with BALCONY │ NEAR BEACH NEGOMBO","2","Private room in bed and breakfast","4.9"
"Pantera Lake House","3","Entire home",
"JB4you Room with a view","2","Private room in bed and breakfast","5"
"Gloria Inn
One Bed Room Apartment","2","Entire rental unit",
"Nayan's Paradise Beach Villa","8","Entire home",
"Spacious Apartment w/ A/C, Wi-Fi, & Gated Parking!","2","Entire condo","5"
"🇱🇰 Newly Built Modern 🏠 W/ Wifi, A/C, 🚘","4","Entire condo","4.9"
"R2 A new B&B in the heart of Colombo","2","Room in aparthotel","4.97"
"Private Haven","2","Entire home","4.75"
"Ziziphus Tree Villas Tissamaharama","3","Room in boutique hotel","4.73"
"Dreamtime Kurumba Cabana + Pool","2","Private room in bed and breakfast","4.94"
"Lighthouse Ahangama, Suite 3","2","Room in boutique hotel","4.6"
"Clintonvilla 4-bedroom with pool near to Airport","8","Entire villa","4.88"
"3BR Battaramulla Apartment with a rice field view","6","Entire rental unit","4.73"
"Villa ByZee Ahungalla","2","Entire villa","5"
"Havelock City Edmonton Tower Colombo 05","6","Entire condo","4.9"
"The FlipFlop 3","3","Private room in home","4.92"
"New beautiful apartment with a view of the lake","4","Entire rental unit","5"
"Beverly Hill Cabanas Hikkaduwa 4","3","Private room in bed and breakfast","4.93"
"Penthouse With Sea View Balcony","2","Room in hotel",
"Dreamtime Kola Room + Pool","2","Private room in bed and breakfast","4.96"
"Luaya Beach - Deluxe Double Room","2","Private room in guesthouse","4.94"
"Rovenluck Eco Cabana (3)","2","Entire villa",
"Avera Hills Villas Unawatuna","4","Private room in villa",
"Wood Pigeon Nature Villa","4","Entire guest suite","5"
"Room With Balcony","2","Private room in villa","4.8"
"Peaceful stay","4","Entire home",
"Gammaduwa Colonial Bungalow and Tea Estate 3","3","Private room in bungalow",
"Siyon Yula King Room","2","Private room in rental unit",
"""Villa 51 Down Stair Gives You To Calm & Relax""","4","Entire villa",
"Вилла с бассейном и видом на поля","2","Room in hotel",
"Villa in Matara","2","Entire villa","5"
"2 Andrews Lodge. Nuwara Eliya","2","Private room in home","4.6"
"The Spice House Mirissa","2","Private room in bed and breakfast","4.89"
"Family Room - Hotel Alakamanda","3","Room in hotel",
"The Woods Cottage 1","3","Entire cabin",
"Elite House - 2 Beds, 1 Bath, Kitchen & Fiber WiFi","4","Entire home","4.5"
"Gal Oya Lake Club Luxury - Araliya Double","2","Private room in bungalow",
"Double Room with AC and Sea View","2","Room in hotel","5"
"Ocean Gateway Private villa on the beach","2","Room in hotel","4.8"
"Mount Princess Holidays","4","Entire rental unit",
"Family Room by Sinharaja Tour Guide","3","Private room in bed and breakfast",
"2BRw/Belcony, step-free. Ananthaya-the infinity","6","Entire home",
"Seven  Hills Holiday  Bunglow","2","Room in hotel",
"Sansala Guesthouse","2","Private room in bed and breakfast","4.73"
"Ella Mount View Guest Inn
Room 1","3","Private room in bed and breakfast","4.79"
"Großzügige moderne Gehele Villa","4","Entire villa",
"Double room at The Green Edge in Dambulla","2","Private room in bed and breakfast",
"Middle of the jungle","2","Private room in cabin",
"Natural cabanas in tangalle","2","Private room in home","4.61"
"Perfect 2BR Family Stay with AC + RTop + Parking","4","Entire home",
"Modern house a stylish furniture","4","Entire home",
"Thalmaha Guest House-Room 4 (ground floor)","2","Private room in guesthouse",
"Orchid Villa #10","4","Entire villa","4.81"
"Victoria Waterside Nature Retreat","5","Entire villa","4.8"
"Honey Way","4","Entire rental unit","4.44"
"SriBeach Villa and Bungalow","12","Entire villa","4.46"
"Ruchi place","2","Entire guesthouse",
"OwinRich Resort Godakawela","16","Room in hotel",
"Estate Bungalow Sri Lanka","6","Private room in home",
"Nice accomodation with sea view","2","Private room in rental unit",
"Nuga Villa @ Pelawatte
(Airconditioned room)","4","Entire condo","5"
"One Bedroom Apartment","3","Entire rental unit",
"Ranjith Guest Mirissa","2","Private room in nature lodge","5"
"Room air condition near beach","2","Private room in guesthouse",
"Hikka Cherish - Room No. 01","2","Private room in rental unit",
"Ocean Gateway Private Villa on the beach","2","Room in hotel",
"Kathircholai Trincomalee - 2 Bedroom Lower Villa","4","Private room in guest suite",
"Rovers Lodge Room 1","2","Private room in nature lodge",
"Deluxe Dwelling Apartment - Villa Windfall","2","Entire rental unit",
"entire cottage","2","Entire home",
"Peaceful gated community","6","Entire home",
"Sea lions 3 triple room","2","Private room in rental unit",
"Rajan's Home (2)","4","Private room in home","4.67"
"Modern 3 Bedroom Apartment","6","Entire rental unit",
"Sole Luna Resort & Spa - Deluxe Double Garden View","2","Room in boutique hotel","4.55"
"Private room on beach for digital nomads","2","Private room in guesthouse",
"Deluxe Double (Room # 203)","2","Room in hotel",
"Gampaha Villa in Yakkala Town","5","Entire home",
"udawalwe hornbill river camp","4","Private room in bed and breakfast","5"
"The Railway Lodge Hostel-Double room","2","Private room in guesthouse",
"Cinnamon Bungalow, a treasure in a hidden garden","2","Private room in bed and breakfast",
"Vaana Resort","2","Private room in bed and breakfast",
"Neverbeen to Theepan's Home (DBL A/C Room 3)","2","Private room in guesthouse",
"Economical villa with garden","2","Entire home",
"Cinnamon River, a unique EcoVilla at edge of river","8","Entire guest suite",
"Moringa Weligama - AC/FiberWi-Fi/Kitchen/2BR","4","Entire home",
"Private room at a Villa, Wadduwa","4","Private room in villa",
"Sigiriya Ranasinghe Nature Villa 03","8","Private room in nature lodge",
"Blue Breeze","2","Private room in guesthouse",
"Deluxe Double Room with Balcony","2","Private room in bed and breakfast",
"Standard A/C Room Overlooking Hikkaduwa Lake","2","Private room in villa",
"Blowhole Unawatuna Deluxe  Room","2","Entire guesthouse",
"Ella Black Bridge Hotel","4","Entire guesthouse",
"Two Bedroom with common Bathroom","4","Private room in rental unit",
"Moon End Villa","4","Entire villa","5"
"Grand Apartment Panadura","6","Entire rental unit",
"Happy living with peace of mind","6","Entire home",
"Surf View Point Ahangama","2","Entire rental unit",
"Deluxe Triple Room with Free Breakfast & Pool Use","3","Private room in bed and breakfast",
"Double Room with Mountain View","2","Private room in bed and breakfast","4.67"
"Cabine en bois plage vacances.","4","Entire cabin",
"Room No. 2","2","Private room in bed and breakfast",
"The Orchard Habarana - Tree Canopy View : Nelli","3","Private room in nature lodge",
"Neverbeen to Ravi Beach House | Double Room 1","4","Private room in villa","4.33"
"Deluxe Double Room in Hikkaduwa near Sea side","2","Room in hotel",
"Maple Place Apartment 9","2","Private room in rental unit",
"Two story House For Rent!","5","Entire home",
"Room with Private Bath & free parking and pool/gym","2","Private room in rental unit",
"S & D Rented Tourist Apartment","6","Entire rental unit",
"Ared Villa, proximity to Katunayake Airport","10","Private room in villa",
"Jungle Bay Resort Nilaveli- Family Room","4","Room in hotel",
"Villa Ceylanka: Double Room w/AC + King BED +DESK","2","Private room in home",
"Sandalwood Cottage(FAMILY CHALET-01) Udawalawa","5","Private room in cottage","4.75"
"Colombo- Depanama  home stay","6","Entire home","4.64"
"Villa with Private Pool","4","Entire rental unit",
"Sylvester's Homestay (2)","2","Private room in home",
"Rovenma Hill B&B Twin Non AC Room & Amazing Views","2","Private room in rental unit",
"AC Double Room with WiFi,Hot Water,4min to Beach","2","Private room in guesthouse",
"Travelers Feel at Home !","12","Private room in bed and breakfast","4.86"
"Villa WhiteAura","5","Entire rental unit",
"Great view of Kandy","2","Room in hotel",
"Modern apartment in the heart of the city","6","Entire rental unit","4.57"
"Alay Lake - Yala (2)","3","Room in boutique hotel",
"Sea esta villas  - Sage House","6","Entire villa",
"Pearly Gates Apartment with A/C,hot water, WiFi","2","Entire rental unit","5"
"Apartment in Galle","4","Entire rental unit",
"Raya Holiday Villa, Kandy","6","Private room in home","4.8"
"Thiranagama Beach Hotel","16","Private room in bed and breakfast",
"Upstairs Double Bedroom","2","Private room in rental unit",
"Room in Unawatuna","2","Private room in guesthouse","4.22"
"Pearl White Villa Udawalawe(Sheran Safari)","8","Private room in home","4.82"
"Horizon Guest Room 04","2","Private room in guesthouse",
"6 bed 5 bath Entire luxury house in Negombo","14","Entire home",
"Kumma Villa - Lovely 3 Bedroom  Apartment","6","Entire rental unit",
"Insulated single house","10","Entire home",
"MIRISSA SPACIOUS CLEAN ROOM WITH GREAT LOCATION#1","2","Private room in guesthouse","4.18"
"Villa Conch by Om - Hikkaduwa Gem!","4","Entire home",
"Transit Cabin","2","Private room in guesthouse","4.33"
"Fully A/C House near Weligama beach Srilanka","4","Entire rental unit",
"Family Villa with Mountain view","5","Room in hotel",
"Mihindu Road - Colombo Apartments","5","Entire rental unit",
"Rawana Mount View Ella - Double Room with Balcony","10","Room in hotel",
"Isanka lion lodge","3","Private room in home",
"Breathtaking Luxury in Negombo","6","Private room in serviced apartment","3.5"
"Sigiri Star Wing Villa","12","Private room in nature lodge",
"Little Swan Superior Room 1","2","Private room in guesthouse","4.64"
"Saki Villa Ahangama - 103","2","Room in bed and breakfast",
"Superior room-Beach villa Lanka- srfing and swimm.","2","Private room in rental unit",
"Deluxe Double Room","2","Private room in home","5"
"Sithagi Villa in Unawatuna","12","Private room in home",
"Villa Dragon House - Double room","2","Entire guesthouse",
"The Colombo Home","5","Private room in villa",
"Villa Vintage1 (Triple Room with a shared kitchen)","3","Private room in villa",
"Officers Mess, Kandy - Room 2","3","Private room in bed and breakfast","4.83"
"Bett im Gemeinschaftszimmer","1","Shared room in hostel",
"Deep Blue Homestay  Greta Cottage","4","Entire bungalow","4.67"
"Rosa Studio Annex in Nugegoda, Sri Lanka. US$23","3","Entire cottage",
"Private Vila with Kitchen near beach 800m","4","Entire villa","4.33"
"Hiriketiya Cove Inn","2","Private room in guesthouse",
"03 Bed Room Villa for Rent","4","Entire home",
"Bella Casa Apartment.","5","Entire condo",
"The Seascape - Matara - M - Room 5","2","Room in boutique hotel",
"Villa 78","4","Entire home",
"Golden wild yala Deluxe Double Room with Balcony","2","Room in bed and breakfast",
"Luxury Villa in Kandy","10","Entire villa",
"City Center Apartment 3BR","5","Entire condo","5"
"3 bedrooms apartment in Colombo.","6","Entire rental unit",
"Christima Residence Deluxe Double Room 1-2","2","Private room in guesthouse","4.77"
"1 BR Heritage Bungalow by Lake","2","Private room in home",
"Classic Room","2","Room in hotel",
"Double Room","2","Room in boutique hotel",
"Amron Resort budget room in sigiriya","2","Private room in home",
"entire second floor “3 bedrooms”","7","Entire villa","5"
"new villa for rent Hikkaduwa","3","Entire home",
"Sea view fully furnished apt.","6","Entire condo","4.67"
"A double bed room in Galle Fort","2","Private room in bed and breakfast",
"Central Beach Inn, Deluxe Room","2","Private room in guesthouse","4.44"
"Brizo deluxe","2","Private room in bed and breakfast","4.25"
"Guru Beach Villa (2-bed rooms) pool","4","Shared room in villa",
"Lakraj Heritage Hotel - Standard Double Room","2","Room in boutique hotel",
"Party Venue~Garden~15-150 Ppl~BYOB~Lights~BBQ~Cook","16","Entire home",
"Deluxe Double room with balcony and mountain view.","3","Private room in villa",
"Villa Madeleine  - Adorable 4 bedroom guesthouse","8","Private room in guesthouse",
"Horizon Guest Room 07","2","Private room in guesthouse",
"4 Bedroom Large Apartment in Nugegoda, Colombo","12","Entire rental unit",
"Paradise with view","4","Private room in nature lodge",
"Ambatenna Bungalow","8","Entire home","5"
"Peacock Heaven Ground Floor","6","Entire rental unit","5"
"Villa Dulika In Hikkaduwa","2","Entire rental unit",
"Luxury Hotel Room Negombo Lagoon","4","Room in hotel",
"Two Bedroom Villa with Pool","4","Entire rental unit",
"Kosgoda, Südprovinz (Sri Lanka)","4","Private room in home",
"Summer Garden Budget Double Room","2","Private room in bed and breakfast",
"Tropical Hideaway: 2-Bedroom House in Weligama","4","Entire home","5"
"Beaumonde Studio (02)","4","Entire rental unit",
"Pinnacle Villa","2","Private room in villa",
"Neverbeen to Cascade Valley with Waterfall View|F1","4","Private room in villa","4.84"
"Colombo 20 minutes by train super clean","2","Private room in bed and breakfast",
"Basic Double room 1","2","Private room in guesthouse","4.46"
"Beach Villa with Four Rooms","8","Entire villa","4.88"
"Horizon Guest Room 06","2","Private room in guesthouse",
"1 BR Heritage Bungalow By Lake","2","Private room in home",
"Deluxe Double Room With Fabulous Lake View 40% OFF","2","Room in hotel",
"Galle Surf Side Villa - Bedroom5","2","Private room in home",
"Villa 105B – Monkey Room","2","Private room in guesthouse",
"Kandy Cabana Eco Resort","2","Room in nature lodge","3.6"
"Deluxe Triple Room /Two Roomed Deluxe Suite","3","Room in boutique hotel",
"Christima Residence Deluxe Double Room 2-2","2","Private room in guesthouse","4.75"
"Hikkaduwa - Luxury Triple Room with Eco Sounds","3","Room in boutique hotel",
"Bata Padura","4","Entire guest suite","4.64"
"Christima Residence Deluxe Double Room 1-1","2","Private room in guesthouse","4.65"
"Ketature Beach House Two Bedroom Family Apartment","4","Private room in bed and breakfast",
"Private villa near silent beach","3","Entire home",
"Domaine de Bellevue","2","Entire guesthouse","4.79"
"Standard King Suite The Waves Unawatuna","3","Private room in bed and breakfast","4.6"
"Casa Noah","2","Private room in villa","4.67"
"Dream Garden - Deluxe Family AC 1,5 bedrooms","4","Room in boutique hotel",
"Furnished House - Onida Hills Thiranagama - 1","2","Entire home","4.36"
"Luxury A/C double bed villa","6","Entire cabin",
"Heart of the city accommodation","2","Room in hotel",
"Loft123","8","Room in hotel",
"Royal Resort 1","2","Room in hotel","4.47"
"Deluxe Double room","2","Private room in villa",
"The classic-APT","2","Private room in condo",
"Kosal's home 100m for the beach.","4","Entire rental unit",
"Cloud Nine Lanka Resort - Superior Deluxe Room","3","Private room in resort",
"Savenndra Resorts with a pool","12","Private room in resort",
"Spacious Budget Room w/ authentic Breakfast","2","Private room in bed and breakfast","5"
"BarefootBungalowHikka 4Bedrm Apt","8","Private room in rental unit",
"Tishan Holiday Resort","2","Private room in bed and breakfast",
"Deluxe Twin Room With Mountain view","2","Private room in bed and breakfast",
"Deluxe Double Room with Garden View","2","Entire home",
"Edwin's Airport Garden","12","Room in hotel","4.6"
"Lakeside Cabana and Yala National Park Safari","1","Private room in cabin",
"Vibrations Villas - Standard Double Room (2)","2","Private room in guesthouse",
"Miracle Homestay  B&B","4","Private room in bed and breakfast",
"Bungalow in parc food included","3","Entire cabin",
"SAHAS Lake Resort","6","Entire villa",
"Apartment for 5 @ Diyatha Uyana","5","Entire condo",
"The Lake Residences - 'The Jasmine'","8","Entire townhouse","4.89"
"Ella Nature Valley Family","4","Private room in rental unit",
"Redhill Yala","10","Entire home","4.51"
"Parliament Bungalow Room 01","2","Private room in villa","4.33"
"Cinnamon Apartment Panadura 2","4","Entire condo",
"Perfect for families alike.","2","Room in hotel",
"Dougies Hidden Place","3","Entire home",
"Spacious house with breathtaking view, Ella close","6","Entire home","4.71"
"Malabe Villa","8","Entire home","4.67"
"P & A villa house","6","Entire home",
"Hotel Levon Ella - Deluxe double room with balcony","2","Room in bed and breakfast",
"Mountain Majesty  vacation home.","4","Entire home",
"Deluxe Family Bed Room","3","Room in hotel",
"Specious Double AC Room with Pool View (B&B)","2","Room in boutique hotel","4.5"
"great location in Bentota","2","Room in hotel",
"Studio Apartment Nearby City Center","3","Entire rental unit","4.4"
"Thilina Hotel - Deluxe Triple Room","3","Room in hotel",
"CozyNest","2","Entire home",
"Cheerful residental home & garden","6","Entire home",
"Mint leaf house","8","Entire home",
"Two Bedroom Family Apartment @ City","4","Entire condo",
"8+ Plus Motels","15","Room in hotel",
"J W Villa","6","Entire home",
"Lovely 2 Bed & 2 bath rental unit with pool & gym.","5","Entire rental unit",
"20% Off - Cozy Twin at Queens Beach with Sea View","2","Room in boutique hotel",
"The Avenue - Private room Colombo 08","2","Private room in rental unit",
"Margaretha's Nest - Deluxe Room","3","Private room in home","4.85"
"The Spice Villa - Area 02 / Unawatuna, Galle","2","Private room in villa","5"
"Mount paradise holidays","4","Entire condo","4.78"
"Apartment in Kandy and an E-Scooter!","3","Earthen home","4.6"
"Mihindu Road - Colombo Apartments","5","Entire rental unit",
"Christima Residence Deluxe Double Room 4-1","2","Private room in rental unit","4.67"
"BnB garden room w/ a swimming pool near airport","2","Private room in home","4.84"
"Kanimandala Botique Resort","16","Private room in guesthouse","4.35"
"Swan Villa","2","Entire villa","4.8"
"Brand New Luxury House for Rent","4","Entire home",
"A/C Double Room","2","Room in boutique hotel","4.5"
"Neverbeen to Ranaweera Homestay | Double Room 1","3","Private room in cottage","4.52"
"107 Superior Double Room","2","Private room in bed and breakfast","4.56"
"Entire Two Room Apartment","3","Entire rental unit",
"The Glen Kandy","8","Private room in rental unit",
"Privrt Beach villa Coco","4","Entire home",
"4th floor room with sea view","2","Private room in serviced apartment",
"Winston Sea Front Villa","2","Private room in bed and breakfast",
"DBL/Twin Room with Mountain View - Silver Dome","3","Private room in guesthouse","4.45"
"kandy api cottage","6","Entire home",
"Polwaththa House","2","Entire home",
"New Rooms in Colombo","3","Private room in serviced apartment","4.86"
"Privet2 Beds Rooms Leela Villa,","4","Entire home",
"White house homestay sigiriya - Calm & quite place","3","Private room in home",
"Silver Linings Residencies","2","Private room in rental unit",
"Experience Kandy with a Private Room & Bath","2","Private room in home","4.32"
"56 Home Stay","2","Entire home","4.7"
"Tiger Villa Banana Room / Midigama","3","Private room in home",
"Birds Bliss Cbana kalahe","2","Entire cabin",
"Comfortable Apartment w/ AC + Wi-Fi","6","Entire home",
"La Felicita","5","Entire bungalow",
"Local Home in Galle near Unawatuna","6","Private room in bed and breakfast","4.92"
"Coco villa in Koswatta","5","Entire home",
"Double Room in Sigiriya","2","Private room in bed and breakfast",
"Cozy Twin Room: Affordable & Comfortable","2","Shared room in bed and breakfast",
"Kandy Blue Luxury Guesthouse","16","Entire home",
"Chathu’s Little inn","2","Private room in home",
"Leisure Villa Habaraduwa","4","Entire home",
"Comfortable and private rooms - Surf and Yoga camp","3","Private room in bed and breakfast",
"Chill and Surf Sri Lanka- Time Lag Garden","2","Tiny home","4.26"
"Experience ultimate privacy.","2","Private room in bed and breakfast",
"Bosadi Non AC budget room","1","Private room in home",
"Freedom Haven Villa","5","Entire villa",
"SemiUrban house Close to Kandy with Stunning views","2","Entire home",
"The Frangipani","2","Private room in nature lodge","4.64"
"Villa Don Williams - Weligama","2","Room in hotel",
"Bolonghe’s Homestay","2","Private room",
"BAS Balcony","3","Private room in home","4.57"
"The Old Cinnamon House Room 1","2","Private room in villa","5"
"Air Conditioned Room with Breakfast","2","Private room in bed and breakfast",
"CBS Resort Udawalawe","2","Room in hotel",
"DABAN HOMESTAY WITHOUT VIEW DOUBLE ROOM","2","Private room in bed and breakfast",
"Pethum Guest private room with fiber wifi","3","Private room in rental unit",
"Seth Villa","4","Entire home",
"Hikka Cherish - Room No. 02","2","Private room in rental unit",
"A relaxing house with panoramic mountain views.","2","Private room in home",
"Spacious 5BR Family Home~Garden~Balcony~CityView","8","Entire home","4.67"
"Marine Guest House @Negombo Beach","16","Private room in bed and breakfast",
"Grounded Lounge","2","Private room in home",
"Spacious 1 Bedroom Ground Floor apartment","3","Entire condo",
"Ripton Villa (Single AC Room for 2)","2","Private room in cottage",
"Modern cosy Bungalow near seaside","4","Entire home","4.09"
"Ishara Cabana with Sea View - Ground","2","Private room in guesthouse","4.25"
"Hidden heaven holiday home","12","Entire villa",
"RAMANI VILLA","2","Private room in bed and breakfast","4"
"Red Eyes Cottage","2","Private room in cottage",
"Ella infinity VIEW is a nice place, Adams VIEW, m.","3","Private room in farm stay","4.8"
"Welcome. Enjoy your Freedom.","2","Private room in tiny home",
"D South77","2","Private room in home",
"Rooms with Shared Kitchen and garden","5","Entire home","4.5"
"Sithagi Villa Apartment","6","Entire rental unit",
"Garden view room wt balcony at The Stables Hotel 5","2","Room in hotel",
"Fisherman Lodge Mawella","7","Entire home",
"Canal View Cottage","4","Entire home",
"47 Alfred house","2","Private room in home",
"Kanit Sigiriya","2","Room in boutique hotel",
"Double Room - Road Level","2","Private room in bungalow","4.88"
"Casa Palmera","6","Entire home",
"Sunny daze 🎊🎉","6","Private room in villa",
"Green Leaves Garden Home stay","2","Private room in guest suite",
"CR Apartments
very friendly place and easy access","8","Entire condo",
"Vintekta Cottage","2","Private room in home",
"Nisal Bungalow","4","Entire bungalow",
"Comfortable living in Wattala.","5","Entire guest suite",
"Roadster Studio Pagoda - A/C Private Room-2 Guests","2","Private room in guesthouse","4.4"
"Amazing Villa in Hikkaduwa","5","Entire villa","5"
"Mimoza - Superior Family Room with Kitchen & Pool","3","Entire home",
"Private Bungalow with Terrace","2","Private room in bed and breakfast","4"
"Bee Line Holiday Apartment","5","Entire rental unit","5"
"Summer Ridge - Homestay - AC Room","2","Private room in home",
"Sekku Villa","4","Entire home",
"Honeymoon suit, private villa induruwa","2","Private room in casa particular",
"Enjoy the holiday freely","2","Private room in bed and breakfast",
"Family Suite Blue Beach Galle","3","Room in hotel",
"The Earth House - 2 rooms with a/c","4","Private room in bed and breakfast",
"Calm Casita Luxury Villa.","4","Entire rental unit",
"Two Ocean view rooms with balcony & pool access","5","Private room in bed and breakfast",
"Roadster Colombo Room 303 Non a/c Triple Room","2","Room in hotel","4.6"
"25 @ 5th Lane Nawala.","12","Entire home","4.8"
"Ayo Villa Gurudeniya, Kandy","4","Entire rental unit","4.75"
"Avora mount villa","2","Room in hotel",
"Place to stay in sigiriya","2","Private room in bed and breakfast",
"Grace Nuwara Eliya","8","Entire bungalow","4.62"
"Standard Family Room For 04 Pax","4","Private room in guest suite",
"Marine Ray Resort In Hikkaduwa Room No 3","3","Private room in bed and breakfast",
"First House - Mihintale","3","Private room in bungalow","4.69"
"White House Leisure - Upstairs","3","Entire home",
"Double bed room Madiha Sri Lanka","2","Private room in bed and breakfast","4.78"
"Walk up fresh and run to ocean","2","Room in hotel",
"Island star Pool and SPA","2","Entire guest suite",
"Sunshine Holiday Home at Wattala","2","Private room in home",
"Hotel All inclusive con una guida privata per voi","3","Private room in bed and breakfast",
"Bright Residence","1","Entire guesthouse",
"The Vintage Villa - Knuckles,","4","Room in hotel",
"Yalegoda Walauwa -Luxury Apartment","2","Entire bungalow",
"Colombo sea view serviced apartment","6","Entire rental unit","4.8"
"Spacious Chalet for families or friends","5","Entire place",
"Kingsview Residencies 9A - Apartment","6","Entire rental unit",
"Lilly Private House (Luxury House)","10","Entire home",
"Ceylonray Travels and Holidays","4","Entire guesthouse","5"
"Villa Sanni 18","4","Entire rental unit",
"Tamarind Lake Deluxe Double Room with Lake View","3","Private room in bed and breakfast",
"Riverdale Ridge Homestay - Deluxe King Family Room","2","Private room in villa","4.83"
"Pahan Villa","4","Entire home","4.67"
"Colombo Residence","12","Entire home","4.72"
"Sandy Palms -Cozy BR w/ AC & Private Bathroom","2","Private room in guesthouse",
"New Waters Meet Villa Polwatta","2","Entire home",
"Neverbeen to Cascade Valley with Waterfall View|F2","4","Private room in villa","4.75"
"Superior Double Cabana Non A/C with Breakfast","2","Private room in bed and breakfast",
"Island Star POOL & SPA","4","Entire rental unit",
"3 Bedroom Apartment @ Fairway Sunset Galle","6","Entire condo",
"Villa B7 - Weligama : 5 Min to Sea","3","Entire rental unit",
"Trinco Modern Holidays House A","10","Entire bungalow","4.8"
"Greenwood Villa  river view with natural bath tub","4","Private room in bed and breakfast",
"Hillside Hideaway","4","Entire villa","4.73"
"modern house a stylish furniture","4","Entire home","4.5"
"Rock garden unawatuna","8","Entire villa",
"2 Bedroom Villa close to beach","4","Entire home",
"Eagle Homestay - Tangalle","6","Entire home",
"Madugalles B&B Double Non-AC Room in Kandy Town","2","Private room in bed and breakfast",
"The Om","2","Private room in bed and breakfast",
"Tamarind villa","9","Entire home",
"""A Home within the City""","6","Entire condo","4.75"
"1 Bedroom villa with a beautiful view.","2","Entire home",
"Black Man Guest House","8","Entire home",
"Stay with Srima & Jay - Retired teacher","2","Private room in home",
"Double Room","2","Room in hotel",
"Beautiful beach villa Talalla","2","Room in hotel",
"20% Off - Sea View - Comfortable Stay at Queens","2","Room in boutique hotel",
"3-Bedroom Villa with One Bathroom and Kitchen","4","Entire villa","4.8"
"Eco Space Holiday Bungalow","4","Entire bungalow",
"Dreamtime Watta Room + Pool","2","Private room in bed and breakfast","4.8"
"Ruby’s Belle Maison - Modern, Luxurious","4","Entire home",
"Namal- Family Room","4","Entire place",
"Greenfield Villa","8","Entire home",
"#10 Min walk to Train - Modern Comfy Room#","2","Room in boutique hotel","3.5"
"Apartment in Colombo","2","Entire serviced apartment",
"95 Cinnamon Lodge","8","Entire home",
"Sea & Greens Apartments","4","Entire rental unit",
"Rastha Pastha Beach Villa Seaside Serenity (Delu)","2","Entire guest suite","4.2"
"Lake view Colombo Nawala","8","Private room in bungalow",
"Deluxe Double Room with balcony","2","Private room in rental unit",
"Deluxe Double Room","2","Private room in home",
"Neverbeen to Tithira Guest |DBL Garden View room 4","2","Private room in guesthouse",
"Hotel See Kandy","2","Room in boutique hotel",
"ocean villa room 2","2","Private room in villa",
"Honeymoon Suite with Balcony","2","Private room in guesthouse",
"Yapagama Village","12","Private room in resort",
"DCC Penthouse Apartment Master Bedroom","2","Private room in rental unit",
"BarefootBungalowHikka2Deluxerooms separatebalcony","4","Private room in villa",
"Grand Jaya Residence  🌆 Two Bedroom  Apartment","4","Entire rental unit","4.67"
"Feel like heaven","5","Earthen home",
"Amalya Holiday Home-Weligama","4","Entire home",
"Sea La Vie","2","Room in hotel",
"Ransara Villa","4","Entire home",
"Deluxe Room in Weligama","2","Private room in hostel",
"Hotel Shalini Family AC Room sleeps 6","6","Private room in bed and breakfast",
"A Beautiful paradise among the Forest.","4","Entire cottage",
"Christima Residence - Two Bedroom Apartment 2","4","Entire serviced apartment","4.68"
"Sidangana Homestay","4","Private room in home",
"Serene Villa Bandaragama","5","Private room in villa",
"Dunisinane Room at Tea Library","2","Private room in bed and breakfast",
"Air conditioning room,Weligama |Surf|snokle|relax|","2","Private room in guest suite",
"Fully Furnished Apartment 30 Steps Away From Beach","2","Entire rental unit",
"AC Deluxe Double/Twin Room with Balcony Hot Water","2","Room in bed and breakfast",
"Giulia Triple Bedroom at Deep Blue Colonial Villa","2","Private room in villa",
"ECO FRIENDLY WETLAND CABANAS WITH LAKE VIEW","16","Room in nature lodge",
"Yeshin villa","6","Private room in villa",
"Olanro Negombo-Triple Bedroom (Room Only Basis)","3","Room in hotel",
"QUITE RELAX PRIVATE TWO KING BED ROOM","4","Room in hotel",
"Palmyrah Residencies, Standard Double Bedroom","2","Private room in guesthouse","4.6"
"LSC 4 Bedroom Villa - Surf|Beach","8","Entire home",
"Neverbeen to Tithira's Guest | Standard DBL Room 3","2","Private room in guesthouse",
"Place to Relax and Enjoy with Nature","8","Private room in bed and breakfast",
"Nelum - Whispering Waters","2","Private room in bed and breakfast",
"Sunset Resort - Tangalle","2","Private room in guesthouse",
"Cycle villa","2","Private room in home",
"Dennislandvilla-Kadupul","2","Entire rental unit",
