"name","numberOfGuests","roomType","stars"
"Sānti - 4 Bedroom Beach House with pool","10","Entire villa","4.2"
"Benito Bungalow- Haputale | Luxury and serenity","10","Entire home",
"Parangi Weligama Bay","16","Entire home",
"M-Beach House, Bay-front Villa","8","Entire home",
"Villa SPACE Whole villa (6 rooms) with Breakfast","12","Room in boutique hotel",
"A Luxury Villa and a Private Beach in Mirissa","6","Entire villa",
"Weli Kasba - a 7-bedroom fully staffed beach villa","16","Entire home",
"Sangria Sun Villa","12","Entire villa",
"No. 77 Leyn Baan","8","Entire home",
"Tranquil 7 BR Close To Beach in Induruwa","14","Entire home",
"On board with Ocean Dimond Mirissa Sri Lanka","4","Private room in boat",
"Leopard Cross Safari  Tours - From Sapphire Base","13","Private room in villa",
"Taru Villas Leela Walawwa with Pool View","2","Room in boutique hotel",
"villa wanderlust","2","Entire serviced apartment",
"Heritage Luxury Walauwwa","4","Room in boutique hotel",
"Villa SPACE Whole Villa (6 Rooms)","12","Room in boutique hotel",
"Your comfort","8","Entire home",
"Esperanza Beach Villa - Tangalle","13","Room in hotel",
"The Six Midigama","8","Room in hotel",
"62nd floor apart with sea view","6","Entire rental unit","4.45"
"Luxury Villa In Ahungalla","9","Entire home",
"The Manor Colombo","8","Private room in bed and breakfast",
"Leopard Glamping","1","Tent",
"4 Bed Rooms Villa  Nuwara eliya","8","Entire home",
"8 Bed Rooms Villa Nuwara eliya","16","Entire home",
"Rest house in siyambalanduwa","4","Entire home",
"Comfy Cottage in the Cool Climes of Kandy-3-Bed","8","Entire cottage",
"""Parawa House"" Six Bedroom Villa","16","Entire home",
"5BR Beach Villa Atulya","15","Room in boutique hotel",
"Blue House In Habarana","16","Entire home",
"5 Bedrooms Villa In Hikkaduwa","11","Entire home",
"Entire 16 Room Villa | Exclusive Offer","16","Room in boutique hotel",
"Perfect 5 beds Villa  Balapitiya","10","Entire home",
"Luxury Bunglow In Nuwara Eliya","16","Casa particular",
"8 bed-room beach front villa in Galle","16","Entire home",
"Luxury Cottage In Nuwara Eliya","12","Entire home",
"Lighthouse Ahangama","16","Entire home",
"The Best Valley In Beragala","16","Entire home",
"8 rooms villa in Mirissa","16","Entire home",
"Antiqe Luxury Villa in Bentota","16","Entire home",
"Green Chalets Galle","16","Entire cabin",
"3 Bed rooms Villa In Kandy","8","Entire home",
"Deco On 44","15","Room in boutique hotel",
"Peace Ful Villa In Kandy","12","Entire home",
"Privet Beach Front House Nico","8","Entire villa",
"Leopard Glamping","2","Tent",
"The Retreat House","10","Entire villa",
"Villa With a Pool In pinnawala","12","Casa particular",
"Mount view Villa with 6 bed room","14","Room in boutique hotel",
"Beach Front Luxary Resort","16","Entire villa",
"villa","3","Private room in villa",
"KAJU GREEN Eco lodges (whole property)","14","Private room in nature lodge",
"Villa in Yala","13","Entire home",
"Beachfront villa experience in Thalpe","10","Entire home",
"Guest House Surfing Villa","13","Private room in guesthouse",
"Beach front Villa in Pasikuda","16","Entire home",
"Antique Luxury Villa in Bentota","16","Entire home",
"Fort Square Villa","13","Entire home",
"Ceylo Villas, Bentota","15","Room in boutique hotel",
"The Sandals by Edwards Collection","10","Room in boutique hotel",
"Beach Villa at The Max Wadiya Boutique Hotel","8","Entire villa",
"Serenus Botiqe Villa","15","Entire home",
"Boutique Hotel with Pool & Beach - Unawatuna","16","Room in boutique hotel",
"The Max Wadiya Boutique Hotel Suite","2","Room in hotel",
"Brzio Hotel Weligama","2","Room in hotel",
"3 Sisters Beach House - Full Villa","8","Entire villa",
"Luxury Four Bedroom Villa with Private Pool","8","Entire villa",
"Ocean villa with stunning location","10","Room in boutique hotel",
"Dendrobium House, large villa near Kandy","13","Room in boutique hotel",
"Cheerful 4 bedroom villa with pool and sea access","8","Entire villa",
"Luxury Four Bedroom Villa with Private Pool","4","Room in boutique hotel",
"Bougainvillea Retreat stunning 8 BR close to Kandy","16","Entire home",
"Luxury Heritage Four Bedroom Walauwwa  with Pool","8","Room in boutique hotel",
"Thambili House by Edwards Collection","6","Room in boutique hotel",
"55Sqm room with Plunge Pool","3","Room in hotel",
"Luxury and Privacy on Mirissa Beach","6","Entire villa",
"Four Bed Room Luxury Walauwa with Private Pool","8","Room in boutique hotel",
"Beach paradise for amazing value","12","Entire home",
"On The Rocks -  7 Bedroom Beach Front Villa","14","Entire villa","4.8"
"Luxury Heritage Walauwa with Private Pool","8","Room in boutique hotel",
"Kirana - A Santani Villa","12","Entire villa",
"Beautiful Beach Villa - perfect for kitesurfing","12","Entire home",
"Lily Pod, Bolgoda","10","Entire villa",
